Arabic, عربى
SKU,SKU
Quantity,الكمية
Price,السعر
Total,إجمالي
Action,إجراء
Configure,ضبط
Delete,احذف
Shopping Cart from %1,سلة التسوق من %1
Newsletter,القائمة البريدية
Newsletter Information,معلومات القائمة البريدية
Subscribed to Newsletter,اشتركت في القائمة البريدية
Last Date Subscribed,اخر تاريخ للاشتراك
Last Date Unsubscribed,اخر تاريخ لالغاء الاشتراك
No Newsletter Found,لا يوجد قائمة بريدية
Start date,تاريخ البدء
End Date,تاريخ الانتهاء
Receive Date,تاريخ الاستقبال
Subject,العنوان
Status,الحاله
Sent,تم الإرسال
Cancel,إلغاء
Not Sent,غير مرسلة
Sending,جاري الارسال
Paused,توقف مؤقت
View,عرض
Unknown,غير معروف
Order,طلب
Purchased,تم الشراء
Bill-to Name,فاتورة باسم
Ship-to Name,شحن باسم
Order Total,إجمالي الطلب
Purchase Point,تكلفة الشراء
Customer View,عرض العملاء
There are no items in customer's shopping cart.,لا توجد أي عناصر في عربة التسوق الخاص بالزبون.
Qty,الكميّة
Confirmed,تم التأكيد
Confirmation Required,مطلوب التاكيد
Confirmation Not Required,غير مطلوب التاكيد
Indeterminate,Indeterminate
The customer does not have default billing address.,العميل ليس لديه عنوان دفع افتراضي.
Offline,غير متصل
Online,متصل
Never,مطلقاً
Unlocked,مفتوح
Locked,مجمد
Deleted Stores,المتاجر المحذوفة
Add Locale,إضافة لغة
Add Date,إضافة التاريخ
Days in Wish List,الأيام في قائمة الأمنيات
Unlock,إلغاء القفل
No,لا
Yes,نعم
Delete File,حذف ملف
Download,تحميل
Delete Image,حذف الصورة
View Full Size,عرض الحجم الكامل
All countries,جميع الدول
Customer Groups,مجموعات العملاء
Add New Customer Group,إضافة مجموعة جديدة من العملاء
Save Customer Group,حفظ مجموعة عملاء
Delete Customer Group,حذف مجموعة عملاء
New Customer Group,مجموعة عميل جديدة
"Edit Customer Group ""%1""","تعديل مجموعة العملاء ""%1"""
Group Information,بيانات المجموعة
Group Name,اسم المجموعة
Maximum length must be less then %1 characters.,يجب أن يكون الحد الأقصى للطول أقل من %1 حرف.
Tax Class,الشريحة الضريبة
The customer is now assigned to Customer Group %s.,تم إسناد هذا العميل لمجموعة العميل %s.
Would you like to change the Customer Group for this order?,هل تريد تغيير مجموعة العميل لهذا الطلب؟
The VAT ID is valid.,رقم ضريبة القيمة المضافة (VAT) صحيح.
The VAT ID entered (%s) is not a valid VAT ID.,The VAT ID entered (%s) is not a valid VAT ID.
The VAT ID is valid. The current Customer Group will be used.,The VAT ID is valid. The current Customer Group will be used.
The VAT ID is valid but no Customer Group is assigned for it.,The VAT ID is valid but no Customer Group is assigned for it.
"Based on the VAT ID, the customer belongs to the Customer Group %s.","استناداً إلى ""معرف الضريبة على القيمة المضافة""، '' العميل سينتمي إلى مجموعة العملاء %s."
Something went wrong while validating the VAT ID.,حدث خطأ أثناء تاكيد رقم ضريبة القيمة المضافة VAT.
The customer would belong to Customer Group %s.,The customer would belong to Customer Group %s.
There was an error detecting Customer Group.,There was an error detecting Customer Group.
Validate VAT Number,التحقق من صحة رقم ضريبة القيمة المضافة
Customer Login,تسجيل دخول العميل
Create New Customer Account,إنشاء حساب عميل جديد
Date of Birth,تاريخ الميلاد
Bad request.,طلب غير صحيح.
Press, صحافة
bakeries and desserts, مخابز و حلويات
Registered Customers, العملاء المسجلين
If you have an account, sign in with your email address., إذا كان لديك حساب ، فسجل الدخول باستخدام عنوان بريدك الإلكتروني.
forget your password , نسيت كلمة السر ؟
or, او
sign in with facebook, تسجيل دخول عبر فيسبوك 
no account yet , لا يوجد لديك حساب بعد
create an account, إنشاء حساب
Secure log in, تسجيل دخول امن
Quick sign up, تسجيل سريع
How scappery work, كيف يعمل سكابري
Follow us , تابعنا
our partners , شركاؤنا 
download our app, تحميل التطبيق
log out , تسجيل خروج
accunt dashboard , المعلومات الخاصة بي
my order , طلبي
my wish list, قائمة امنياتي
newsletter subscription, النشرات الاخبارية  
contact information , معلومات الاتصال
default shipping address , عنوان الشحن 
log in success, تسجيل دخول ناجح
change password, تغيير كلمة المرور 
manage addresses , إدارة العناوين
female , انثى 
male , ذكر
change email and password, تغيير كلمة المرور و البريد الالكتروني
current password, كلمة المرور الحالية
new password , كلمة الرور الجديدة
password strength , قوة كلمة المرور
conferm new password , تأكيد كلمة المرور الجديدة
general subscription , اشتراك عام 
zone, المنطقة 
zip / postal code , الرمز البريدي
select store in, اختيار المتجر في
select city, اختيار المدينة
select zone, اختيار المنطقة
shopping option , خيار التسوق
hypermarket and grocery, هايبرماركت و البقالة
filter by categories , تصفية حسب افئات 
ctownsupermarket's rating , تقييم ctownsupermarket
average rating , متوسط التقييم
value ,القيمة
quality , جودة 
Reviewed, استعراض
Make a Review,قم بمراجعة 
recent feedback , ردود الفعل الاخيرة
search this store, ابحث في هذا المتجر
add to cart , اضف الى السلة
delivery date, تاريخ التسليم او التوصيل
No more runners are available today. The next available delivery day has been selected, لا مزيد من المتسابقين المتاحة اليوم. تم اختيار يوم التسليم المتاح التالي
today, اليوم
tomorrow , غدا
replacements, بدلاء
Some products may be out of stock in the store/s. Choose how you want replacements handled:, قد تكون بعض المنتجات غير متوفرة في المتجر / المخازن. اختر الطريقة التي تريد التعامل مع عمليات الاستبدال بها:
check / money order , بطاقه بنكيه
Call me - If we can not reach you, we will leave out the unavailable item/s., اتصل بي - إذا لم نتمكن من الوصول إليك  فسوف نترك المنتجات الغير المتاحة
Let the personal shopper select the best available replacement., دع المتسوق الشخصي يختار أفضل بديل متاح.
Do not call me. Leave out items that are unavailable., لا تتصل بي. اترك العناصر غير المتاحة.
cash on delivery , الدفع عن الاستلام
bank transfer payment, دفع بالتحويل المصرفي
discount code , الرقم التسلسلي للخصم
fast food and dining , وجبات سريعة 
pharmacy , الصيدلية 
books arts and entertainment, ترفيه و فن و قراءة
